Country,Code,Electoral District,Avg Income
V9C,Metchosin,Esquimalt--Saanich--Sooke,49393.46392
V9E,Saanich West,Saanich--Gulf Islands,57076.28163
V9J,Courtenay Northern Outskirts,North Island--Powell River,45661.48534
V9K,Qualicum Beach,Courtenay--Alberni,44941.17823
V9N,Courtenay Central,Courtenay--Alberni,44941.17823
V9R,Nanaimo South,Nanaimo--Ladysmith,45649.12672
V9S,Nanaimo Central,Nanaimo--Ladysmith,45649.12672
V9T,Nanaimo North,Nanaimo--Ladysmith,45649.12672
V9V,Nanaimo Northwest,Nanaimo--Ladysmith,45649.12672
V9W,Campbell River Central,North Island--Powell River,45661.48534
V9X,Cedar,Nanaimo--Ladysmith,45649.12672
V9Y,Port Alberni,Courtenay--Alberni,44941.17823
V9Z,Sooke,Esquimalt--Saanich--Sooke,49393.46392
V0C,Northern British Columbia (Fort Nelson),Prince George--Peace River--Northern Rockies,55165.93329
V0E,Central Okanagan and High Country (Revelstoke),North Okanagan--Shuswap,45011.37454
V0G,West Kootenays (Rossland),North Okanagan--Shuswap,45011.37454
V0H,South Okanagan (Summerland),North Okanagan--Shuswap,45011.37454
V0J,Omineca and Yellowhead (Smithers),Prince George--Peace River--Northern Rockies,55165.93329
V0K,Cariboo and West Okanagan (100 Mile House),Cariboo--Prince George,46465.20935
V0L,Chilcotin (Alexis Creek),Cariboo--Prince George,46465.20935
V0M,Harrison Lake Region (Agassiz),Mission--Matsqui--Fraser Canyon,40573.66609
V0N,"North Island, Sunshine Coast, and Southern Gulf Islands (Whistler)",West Vancouver--Sunshine Coast--Sea to Sky Country,73189.38336
V0P,North Central Island and Bute Inlet Region (Gold River),North Island--Powell River,45661.48534
V0R,Central Island (Chemainus),North Island--Powell River,45661.48534
V0S,Juan de Fuca Shore (Sooke),North Island--Powell River,45661.48534
V0T,Inside Passage and the Queen Charlottes (Queen Charlotte City),North Island--Powell River,45661.48534
V0V,Lower Skeena (Port Edward),North Island--Powell River,45661.48534
V0W,Atlin Region (Atlin),North Island--Powell River,45661.48534
V0X,Similkameen (Hope),North Island--Powell River,45661.48534
V1H,Vernon West,North Island--Powell River,45661.48534
V1J,Fort St. John,North Island--Powell River,45661.48534
V1L,Nelson,North Island--Powell River,45661.48534
V1M,Langley Township North,Langley--Aldergrove,55331.68948
V1P,Kelowna East,Central Okanagan--Similkameen--Nicola,47258.45093
V1S,Kamloops Southwest,Kamloops--Thompson--Cariboo,47655.03127
V1T,Vernon Central,North Island--Powell River,45661.48534
V1V,Kelowna North,Central Okanagan--Similkameen--Nicola,47258.45093
V1W,Kelowna Southwest,Central Okanagan--Similkameen--Nicola,47258.45093
V1X,Kelowna East Central,Central Okanagan--Similkameen--Nicola,47258.45093
V1Y,Kelowna Central,Central Okanagan--Similkameen--Nicola,47258.45093
V1Z,Kelowna West,Central Okanagan--Similkameen--Nicola,47258.45093
V2C,Kamloops Central and Southeast,Kamloops--Thompson--Cariboo,47655.03127
V2E,Kamloops South and West,Kamloops--Thompson--Cariboo,47655.03127
V3A,Langley City,Langley--Aldergrove,55331.68948
V4A,Surrey Southwest,South Surrey--White Rock,64899.19061
V6T,Vancouver (UBC),Vancouver Quadra,81786.62973
V8A,Powell River,North Island--Powell River,45661.48534
V8G,Terrace,North Island--Powell River,45661.48534
V8L,Sidney,North Island--Powell River,45661.48534
V9A,Esquimalt,North Island--Powell River,45661.48534
V9G,Ladysmith,North Island--Powell River,45661.48534
V9H,Campbell River Outskirts,North Island--Powell River,45661.48534
V9M,Comox,North Island--Powell River,45661.48534
V0A,Upper Columbia Region (Golden),North Island--Powell River,45661.48534
V1E,Salmon Arm,North Island--Powell River,45661.48534
V1N,Castlegar,North Island--Powell River,45661.48534
V1R,Trail,North Island--Powell River,45661.48534
V2G,Williams Lake,North Island--Powell River,45661.48534
V3B,Port Coquitlam Central,Coquitlam--Port Coquitlam,47666.66003
V5A,Burnaby (Government Road / Lake City / SFU / Burnaby Mountain),Burnaby South,44146.73482
V5B,Burnaby (Parkcrest-Aubrey / Ardingley-Sprott),Burnaby North--Seymour,55458.99737
V6A,Vancouver (Strathcona / Chinatown / Downtown Eastside),Vancouver East,47275.71716
V6B,Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),Vancouver Centre,76736.57953
V7A,Richmond South,Steveston--Richmond East,43182.21261
V9L,Duncan,Cowichan--Malahat--Langford,46781.726
V9P,Parksville,Cowichan--Malahat--Langford,46781.726
V0B,East Kootenays (Fernie),Cowichan--Malahat--Langford,46781.726
V1B,Vernon East,Cowichan--Malahat--Langford,46781.726
V1C,Cranbrook,Cowichan--Malahat--Langford,46781.726
V1G,Dawson Creek,Cowichan--Malahat--Langford,46781.726
V1K,Merritt,Cowichan--Malahat--Langford,46781.726
V2B,Kamloops Northwest,Kamloops--Thompson--Cariboo,47655.03127
